Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,AverageCombinedMPG
Acura,Gasoline,4,35,25,30
Acura,Gasoline,6,28,21,24.5
Alfa Romeo,Gasoline,4,33,24,28.5
Alfa Romeo,Gasoline,6,24,17,20.5
Aston Martin,Gasoline,12,19,12,15.5
Audi,Gasoline,4,30,23,26.5
Audi,Gasoline,6,27,19,23
Audi,Gasoline,8,26,17,21.5
Audi,Gasoline,10,22,14,18
Audi,Gasoline,4,32,24,28
Bentley,Gasoline,8,22,13,17.5
Bentley,Gasoline,12,20,12,16
BMW,Diesel,4,41,30,35.5
BMW,Diesel,6,29,23,26
BMW,Electricity,0,109,133,121
BMW,Gasoline,2,33,36,34.5
BMW,Gasoline,3,29,28,28.5
BMW,Gasoline,4,32,23,27.5
BMW,Gasoline,6,28,19,23.5
BMW,Gasoline,8,23,15,19
BMW,Gasoline,12,20,13,16.5
Buick,Gasoline,4,27,20,23.5
Buick,Gasoline,4,31,23,27
Buick,Gasoline,6,26,18,22
Cadillac,Gasoline,4,30,22,26
Cadillac,Gasoline,6,25,17,21
Cadillac,Gasoline,8,21,14,17.5
Cadillac,Gasoline,4,32,22,27
Cadillac,Gasoline,6,26,18,22
Cadillac,Gasoline,8,21,15,18
Chevrolet,Diesel,4,29,21,25
Chevrolet,Electricity,0,110,128,119
Chevrolet,Gasoline,4,31,21,26
Chevrolet,Gasoline,8,23,15,19
Chevrolet,Gasoline,4,34,27,30.5
Chevrolet,Gasoline,6,24,17,20.5
Chevrolet,Gasoline,8,21,15,18
Chrysler,Gasoline,8,25,16,20.5
Chrysler,Gasoline,4,36,23,29.5
Chrysler,Gasoline,6,29,20,24.5
Dodge,Gasoline,8,24,15,19.5
Dodge,Gasoline,8,23,14,18.5
Dodge,Gasoline,10,19,12,15.5
Dodge,Gasoline,4,25,19,22
Dodge,Gasoline,6,27,18,22.5
Ferrari,Gasoline,8,22,16,19
Ferrari,Gasoline,12,16,12,14
Fiat,Electricity,0,103,121,112
Fiat,Gasoline,4,34,26,30
Fiat,Gasoline,4,30,22,26
Ford,Electricity,0,96,118,107
Ford,Gasoline,4,25,19,22
Ford,Gasoline,6,18,11,14.5
Ford,Gasoline,8,21,14,17.5
Ford,Gasoline,3,40,29,34.5
Ford,Gasoline,4,31,24,27.5
Ford,Gasoline,6,23,17,20
Ford,Gasoline,8,22,15,18.5
Genesis,Gasoline,6,24,17,20.5
Genesis,Gasoline,8,23,15,19
Genesis,Gasoline,6,27,17,22
GMC,Diesel,4,29,21,25
GMC,Gasoline,4,27,20,23.5
GMC,Gasoline,6,23,17,20
GMC,Gasoline,8,21,15,18
Honda,Gasoline,4,38,30,34
Honda,Gasoline,4,37,29,33
Honda,Gasoline,6,28,19,23.5
Hyundai,Electricity,0,122,150,136
Hyundai,Gasoline,4,34,27,30.5
Hyundai,Gasoline,6,25,18,21.5
Infiniti,Gasoline,4,30,22,26
Infiniti,Gasoline,6,27,20,23.5
Infiniti,Gasoline,8,22,15,18.5
Infiniti,Gasoline,4,27,25,26
Jaguar,Diesel,4,39,30,34.5
Jaguar,Gasoline,4,30,21,25.5
Jaguar,Gasoline,6,26,18,22
Jaguar,Gasoline,8,23,15,19
Jeep,Gasoline,6,27,19,23
Jeep,Gasoline,8,22,14,18
Jeep,Gasoline,4,31,24,27.5
Jeep,Gasoline,8,19,13,16
Jeep,Gasoline,4,27,21,24
Jeep,Gasoline,6,22,17,19.5
Kia,Electricity,0,92,120,106
Kia,Gasoline,8,23,15,19
Kia,Gasoline,4,33,27,30
Kia,Gasoline,6,25,18,21.5
Lamborghini,Gasoline,10,21,14,17.5
Lamborghini,Gasoline,12,17,10,13.5
Land Rover,Diesel,6,28,22,25
Land Rover,Gasoline,4,27,20,23.5
Land Rover,Gasoline,6,23,17,20
Land Rover,Gasoline,8,19,14,16.5
Lexus,Gasoline,4,30,22,26
Lexus,Gasoline,6,28,21,24.5
Lexus,Gasoline,8,22,16,19
Lexus,Gasoline,4,36,39,37.5
Lexus,Gasoline,6,28,20,24
Lincoln,Gasoline,4,29,23,26
Lincoln,Gasoline,6,24,16,20
Lotus,Gasoline,6,24,17,20.5
Maserati,Gasoline,6,24,16,20
Maserati,Gasoline,8,20,14,17
Mazda,Gasoline,4,34,26,30
Mazda,Gasoline,4,35,27,31
McLaren Automotive,Gasoline,8,23,16,19.5
Mercedes-Benz,Electricity,0,82,85,83.5
Mercedes-Benz,Gasoline,4,30,23,26.5
Mercedes-Benz,Gasoline,6,25,19,22
Mercedes-Benz,Gasoline,8,22,16,19
Mercedes-Benz,Gasoline,12,20,13,16.5
MINI,Gasoline,4,33,24,28.5
Mitsubishi,Electricity,0,102,121,111.5
Mitsubishi,Gasoline,6,27,20,23.5
Mitsubishi,Gasoline,3,42,35,38.5
Mitsubishi,Gasoline,4,31,24,27.5
Nissan,Electricity,0,101,124,112.5
Nissan,Gasoline,4,31,26,28.5
Nissan,Gasoline,6,26,18,22
Nissan,Gasoline,4,33,26,29.5
Nissan,Gasoline,6,25,18,21.5
Nissan,Gasoline,8,20,14,17
Porsche,Gasoline,4,27,21,24
Porsche,Gasoline,6,26,19,22.5
Porsche,Gasoline,8,21,14,17.5
Ram,Gasoline,8,21,14,17.5
Ram,Gasoline,4,28,21,24.5
Ram,Gasoline,6,24,17,20.5
Rolls-Royce,Gasoline,12,19,12,15.5
Roush Performance,Gasoline,8,23,14,18.5
smart,Gasoline,3,39,32,35.5
Subaru,Gasoline,4,27,21,24
Subaru,Gasoline,4,33,25,29
Subaru,Gasoline,6,28,20,24
Tesla,Electricity,0,98,92,95
Toyota,Gasoline,4,30,23,26.5
Toyota,Gasoline,4,35,32,33.5
Toyota,Gasoline,6,25,20,22.5
Toyota,Gasoline,8,18,13,15.5
Volkswagen,Gasoline,4,28,21,24.5
Volkswagen,Gasoline,4,33,24,28.5
Volkswagen,Gasoline,6,25,18,21.5
Volvo,Gasoline,4,29,22,25.5
Volvo,Gasoline,4,32,23,27.5
